source,target,content,type
239340221307785601016176638108857773708,262094231451182191404706337820760825770,"Great question! Sadly, you cannot step through the forked child process, but you can step through the parent process just fine. Print statements are your best friend for forked processes! And make sure to use fflush(stdout); after each print statement",replied_to
239340221307785601016176638108857773708,1192932762009743486,"Great question! Sadly, you cannot step through the forked child process, but you can step through the parent process just fine. Print statements are your best friend for forked processes! And make sure to use fflush(stdout); after each print statement",posted_in_channel
239340221307785601016176638108857773708,38835482236946671516594184585329831420,"I just fixed those, but for future reference, make sure to exclude labels in your answer because it will mark it wrong if it is only asking for numbers as input. We typically won't go through and update scores unless you reach out to us, just a heads up!",replied_to
239340221307785601016176638108857773708,1194024142513639434,"To answer to this question, you'll want to make sure you read the man man page carefully to make sure you run the right command. As long as you run the right command, you should get the right answer.",posted_in_channel
239340221307785601016176638108857773708,60594056836994140915973114304303418583,Just fixed it!,replied_to
239340221307785601016176638108857773708,138890218948058971775989254550378090585,"To answer to this question, you'll want to make sure you read the man man page carefully to make sure you run the right command. As long as you run the right command, you should get the right answer.",replied_to
239340221307785601016176638108857773708,1194024836163457154,"Hey @everyone ! Make sure you're getting started on Lab 1 asap rocky if you haven't already!! You can find a nice little reference to help you get started on LearningSuite under Content->Class Resources->Lecture Slides->Additional slides->Processes, fork, exec, pipe, and file descriptors. It explains the functions and processes really well. Happy coding!",posted_in_channel
239340221307785601016176638108857773708,107348485964263613250601489243388282254,The command cat will take the contents or output of a file and print it to stdout. Does that answer your question?,replied_to
239340221307785601016176638108857773708,125831475142104118841167596917535727369,Yep that should be great!,replied_to
239340221307785601016176638108857773708,1194024960109334618,"You'll still want to make sure that you iterate through the list until you connect properly using socket, after which you should break out of the loop.",posted_in_channel
239340221307785601016176638108857773708,340078930269759384907011515814156661209,Make sure to check the TA hours sheet! It should be referenced in the <#1194025637288099891>,replied_to
239340221307785601016176638108857773708,178135273196943036370501296992220078407,"You'll still want to make sure that you iterate through the list until you connect properly using socket, after which you should break out of the loop.",replied_to
239340221307785601016176638108857773708,1194025010621321226,Make sure to check the TA hours sheet! It should be referenced in the <#1194025637288099891>,posted_in_channel
239340221307785601016176638108857773708,1194666445188104283,My hours will be online this morning but I will be in-person for my afternoon hours,posted_in_channel
195069161412893074299514468536466378104,1192932762009743486,"We are working on it, and will post an update when it is finished",posted_in_channel
195069161412893074299514468536466378104,101923023412443028531657491699968469949,"Kind of, you'll be asked to identify the behavior for code, and to select the most appropriate line from a list to put into a spot to induce behavior

You will not be expected to write correct code from scratch from memory",replied_to
195069161412893074299514468536466378104,340078930269759384907011515814156661209,"Sorry for getting to you late, for no class days and holidays we will not hold TA hours (unless otherwise stated)",replied_to
195069161412893074299514468536466378104,262883629492610478049092243187861753105,"That is what I would expect

```
main() {
    fprintf(stderr, ""abc\n"");
    fprintf(stdout, ""234\n"");
}
```

We have abc printed to stdout
and 234 printed to stderr
Two things are happening with the command:

1. The redirection sends stdout to point to the same file descriptor as stderr. Which in this case is the terminal.

2. The pipe duplicates and sends stdout to the read-end of the cat process

So the question is which happens first

In this case and more generally the pipes apply first THEN the io-redirection

So part 2 would happen first THEN part 1",replied_to
195069161412893074299514468536466378104,271606130257931040264410172388958164171,The testing center has different hours today,replied_to
195069161412893074299514468536466378104,195069161412893074299514468536466378104,"Yes, you will need to decode it",replied_to
195069161412893074299514468536466378104,61793052560874397934401343675331133595,"no answers are given, all the sections give some code and ask you to predict the output, you can test it by actually running the code and seeing if your predictions match what you expected",replied_to
195069161412893074299514468536466378104,162856231949085373146913158308748231179,Yes,replied_to
195069161412893074299514468536466378104,289731214986117883332188066791331247169,At the moment I think there are no plans to curve the exam. I will talk to the Professor about this during our next meeting,replied_to
195069161412893074299514468536466378104,287747573422379892838144117815499496115,"That's a great question, and I have no idea what the answer to that is.

I think if you have a problem with the way a specific question was graded (maybe the question was ambiguously worded or similar) you can take it to the prof to see if you can get credit for it. Another thing to bring up in our meeting.",replied_to
195069161412893074299514468536466378104,32257028701880952926874764698816734147,"Yes, they are also the in class review questions we have at the start of each lecture",replied_to
195069161412893074299514468536466378104,288899485855591529413903662767793430710,"I'm a tad confused how to read the score. Is the number on each entry the number of days I currently have left in each category? (In that case to find out how many days I still have do I subtract my late days from my grace days, or is that the number that is already in the late day category?)",replied_to
195069161412893074299514468536466378104,107348485964263613250601489243388282254,"You can set it to null, you can also forward on the same environment of the parent by putting in `environ`

We import it at the top of the code",replied_to
195069161412893074299514468536466378104,136760330411703252127363076986165217607,"Sorry, it happens from time to time. In future using the VPN when off campus can help:
https://docs.cs.byu.edu/doku.php?id=vpn-configuration-and-use",replied_to
195069161412893074299514468536466378104,1194414351092826112,"so on this message:

The slashes are going different directions, do you have a clue why that may be happening?

I assume you are on windows, so if you can figure that out it may fix some of the problems",posted_in_thread
195069161412893074299514468536466378104,1194024142513639434,"You'd be surprised how often EVERYONE makes small errors like that, I made a similar mistake when following the instructions",posted_in_channel
195069161412893074299514468536466378104,111929606271810467252101212233289274401,"You'd be surprised how often EVERYONE makes small errors like that, I made a similar mistake when following the instructions",replied_to
195069161412893074299514468536466378104,1196684414453829733,Note any specific clarifications or improvements that could be added to this homework in this thread,posted_in_thread
195069161412893074299514468536466378104,1194420647527465060,"Fixed, thanks for pointing it out!",posted_in_thread
195069161412893074299514468536466378104,1195125649095012433,"By written responses do you mean the ""explain your answer box""

Those we will not grade based on format, but based on effort ""did you make an attempt at giving a correct explanation""",posted_in_thread
195069161412893074299514468536466378104,1194423279310622832,"some changes will be made to it

In general, make sure to merge upstream changes before starting each assignment and you should be okay",posted_in_thread
195069161412893074299514468536466378104,1194423898356338809,Just begin the exam and start working through the questions. It should be setup so you can stop and start again as many times as you need to,posted_in_thread
195069161412893074299514468536466378104,1194024189657628884,"For any students working on this, we do provide an automated way to test your submission
To use it run:
```
./SshTester.py bandit.txt
```",posted_in_channel
195069161412893074299514468536466378104,123909673150468586777835952441296118909,"if the pid is negative kill sends it to the whole group, here is relevant part of the man page for reference
```
DESCRIPTION
       The  default  signal  for kill is TERM.  Use -l or -L to list available
       signals.  Particularly useful signals include  HUP,  INT,  KILL,  STOP,
       CONT,  and  0.   Alternate  signals may be specified in three ways: -9,
       -SIGKILL or -KILL.  Negative PID values may be  used  to  choose  whole
       process  groups; see the PGID column in ps command output.  A PID of -1
       is special; it indicates all processes except the kill  process  itself
       and init.

```",replied_to
195069161412893074299514468536466378104,282336932233429805555549892070042714735,"We found a solution to this problem, you need to connect to the bandit machines from the byu cs lab machines, make sure you ssh into schizo first",replied_to
195069161412893074299514468536466378104,156650357135199475119008890982549801212,Does your command pass the tester?,replied_to
195069161412893074299514468536466378104,142838701429072772128655441259243143722,<@735263519800426546>?,replied_to
195069161412893074299514468536466378104,1199123545809244220,"The tar command by default tries to send it's output to a file. The bandit user does not have permission to create new files.

You'll need to figure out what flag to add to send the output to the console",posted_in_thread
195069161412893074299514468536466378104,1198034000686620732,What command are you running?,posted_in_thread
195069161412893074299514468536466378104,1197985830044717238,What are you using as the server name?,posted_in_thread
195069161412893074299514468536466378104,1197254567142883438,"No worries, it will be able to be tested as you go!",posted_in_thread
195069161412893074299514468536466378104,1194024309648265377,"check out signal handler 9, notice that it is attached to the sigchld signal",posted_in_channel
195069161412893074299514468536466378104,38835482236946671516594184585329831420,Do you mean checking the state of an existing process or if the cmd you are given should be started in fg or bg?,replied_to
195069161412893074299514468536466378104,1200877403879264347,"I'll take a look, what have you tried thus far?",posted_in_thread
195069161412893074299514468536466378104,1194024338177937451,"We are still looking into it, I'm like 90% sure the question is wrong, when we nail it down, I'll fix the quiz to accept both the actual answer and the previous incorrect one(provided that I am right about 12)",posted_in_channel
195069161412893074299514468536466378104,1213227521072435260,Have you logged onto schizo before trying this?,posted_in_thread
195069161412893074299514468536466378104,1213236992658378762,Remeber that recv gets called one extra time and returns 0 bytes read. That's how the server knows it has read all data,posted_in_thread
195069161412893074299514468536466378104,1194024406561869896,"You'll need to make it, no starter code is provided for this section of the assignment",posted_in_channel
195069161412893074299514468536466378104,266712805482331640309260438793706897110,"It takes the most recent submission, send me a DM with your name and netid and I can update your score to your best",replied_to
195069161412893074299514468536466378104,236964044674320100166190076863234481461,Do I need to modify the makefile as well to include the sbuf.h? ; I got an error when I used the make command.,replied_to
195069161412893074299514468536466378104,1219405279662440498,Great question,posted_in_thread
195069161412893074299514468536466378104,1194024631804362832,"Yes, this one has no programming associated with it",posted_in_channel
195069161412893074299514468536466378104,1194024836163457154,How to structure commands,posted_in_channel
195069161412893074299514468536466378104,42883837382410989254371470380046741156,"That will work to have three sets of code. As I moved through the checkpoints, I updated my code to make a single solution more general. If I broke an earlier test, I was able to fix the problem. So you can make either way work.",replied_to
195069161412893074299514468536466378104,210696752416145079479542665822346459142,Is there a file in that location?,replied_to
195069161412893074299514468536466378104,250376467938770280930328576724731505816,"I got around this problem by writing 3 functions, one for single command, one for 2 commands and one for more than 2, that way the future checkpoints don't break old tests",replied_to
195069161412893074299514468536466378104,1199087248814116864,"I recommend starting with a single command and just moving on from there.

Don't worry about generalizing your code until you have something that works.


As far as file descriptors are concerned, remeber that when you fork a process you inherit the filedescriptors of your parent. This takes care of the sdtin, stdout, and stderr fd. You can then open the new files, redirect them as needed (using dup2).

When you open a file you get the necessary FD back",posted_in_thread
195069161412893074299514468536466378104,1204964746860695622,That's a great question,posted_in_thread
195069161412893074299514468536466378104,1203874816432668712,"2 things here 
1. The parent should call wait for all of the children, otherwise the children will continue to consume resources.

You'll need to do something like
```
for(int i = 0; i < num_commands; ++i)
  wait(-1, null, 0)
```",posted_in_thread
195069161412893074299514468536466378104,1203407171321208842,"They are limited to the scope of the control structure that created them

Example:
```
int a = 5;
for (int i = 0; i < 3; ++i)
{
  int b = 3;
  a += 1;
  b += 1;
  printf(""a=%d, b=%d, i=%d\n"", a, b, i);
}
```

This will print
```
a=6, b=4, i=0
a=7, b=4, i=1
a=8, b=4, i=2
```
Notice how `a` changed, but `b` stayed the same.

a new `b` was created each iteration of the loop, but `a` kept changes from pass to pass.",posted_in_thread
195069161412893074299514468536466378104,1202718326657126462,"Yes, you need to chmod the file to add execution permissions",posted_in_thread
195069161412893074299514468536466378104,1194024887996653569,Do you mean checking the state of an existing process or if the cmd you are given should be started in fg or bg?,posted_in_channel
195069161412893074299514468536466378104,2767881011214310459907547949528869005,"Are you testing the echo commands in addition to the other parts of the test? IF not do that and make sure the outputs are the same.

It is also possible that the child recourses are not being properly cleaned up",replied_to
195069161412893074299514468536466378104,1194024960109334618,"As a note for this lab, if you have trouble connecting to one of the servers try running this fil
```
./server_status.py
```

This should tell you which server to use",posted_in_channel
195069161412893074299514468536466378104,254941122919793082854089246606402329239,Make sure to null terminate your treasure buffer,replied_to
195069161412893074299514468536466378104,60594056836994140915973114304303418583,"It means integer like in math, not a c int, That should probably be clarified",replied_to
195069161412893074299514468536466378104,1216099203588296764,What part of the lab are you on?,posted_in_thread
195069161412893074299514468536466378104,1194025010621321226,<@735263519800426546>?,posted_in_channel
195069161412893074299514468536466378104,232963432837396141788132482318198639203,"Yes, the manual testing section has details on how to do it, you'll need to use python to start a cgi server",replied_to
195069161412893074299514468536466378104,306403964965585228706225137221565430678,Go for it,replied_to
195069161412893074299514468536466378104,314788061328486229100932824421350289063,Has how much credit will be lost been determined? I have the same error prompt but I have enough work in my other classes that I'm contemplating just turning my lab in how it is.,replied_to
195069161412893074299514468536466378104,125831475142104118841167596917535727369,Addr_len depends on if you are using ipv4 vs ipv6,replied_to
195069161412893074299514468536466378104,1223034695189663835,You'll need to run that make command,posted_in_thread
195069161412893074299514468536466378104,1223301079186276423,"It is possible that there is some access error that only occurs when not debugging, when you debug your program you should expect memory to be laidout differently.

What I suspect is happeneing is that there is a buffer overflow error somewhere in the code, that is being obscured when using the debugger.

Here are some tips for success",posted_in_thread
195069161412893074299514468536466378104,1194025134013550693,"no answers are given, all the sections give some code and ask you to predict the output, you can test it by actually running the code and seeing if your predictions match what you expected",posted_in_channel
195069161412893074299514468536466378104,1194666445188104283,"Sorry for getting to you late, for no class days and holidays we will not hold TA hours (unless otherwise stated)",posted_in_channel
195069161412893074299514468536466378104,1197600299662188706,"This is a test of the <#1197600299662188706> Channel, please react to this post if you can see it!",posted_in_channel
195069161412893074299514468536466378104,1197604168605646858,Post in this thread if you can,posted_in_thread
195069161412893074299514468536466378104,1219381594012516404,"I assume this is for hw 06, the http, cgi and concurrency assignment?",posted_in_thread
311900131345411700396720554174890495,1192932762009743486,Has anyone had their Bandit assignment graded yet? Mine is still blank,posted_in_channel
311900131345411700396720554174890495,61793052560874397934401343675331133595,Not I,replied_to
311900131345411700396720554174890495,1194024142513639434,"For the strings questions, why does S2 contain the word ""Hello""? I couldn't figure that out, and my only remaining guess is that it overlaps the memory of S1 or S3 somehow",posted_in_channel
311900131345411700396720554174890495,136760330411703252127363076986165217607,"I'm guessing you're in part 2, right? If you look up the man page for memcpy, the last line of my screenshot (at the beginning of part 2, before question 10) should answer your question!",replied_to
311900131345411700396720554174890495,1194024338177937451,I was on a lab computer and this happened? I didn't even have a terminal or program interface running. What do I do?,posted_in_channel
311900131345411700396720554174890495,123909673150468586777835952441296118909,"The first checkpoint of Lab 2 is almost identical to Lab 1's, with the exception of adding signals, so it's completely reasonable to copy over your work from the last lab as a basis",replied_to
311900131345411700396720554174890495,1194024887996653569,How do I access the values of jobs in the job array? I was trying to use things like jobs[jobID].state but I've realized the value it returns is always 0 instead of what it's supposed to be,posted_in_channel
311900131345411700396720554174890495,32257028701880952926874764698816734147,Use the functions already written for you. I think they are getjobpid() and getjobjid(),replied_to
311900131345411700396720554174890495,162856231949085373146913158308748231179,"Its a struct (the members are public), so you can just access and reassign them anytime",replied_to
311900131345411700396720554174890495,1194024960109334618,"Someone look over my logic for Level 3, because I'm getting error 132 (wrong remote port):
•initialize an unsigned int sum with value 0
•parse remote port
•convert remote port to short host order
•add the new port value to the sum
•repeat these steps m times
•add 1 to the summed nonce, and convert it to long network order",posted_in_channel
311900131345411700396720554174890495,340078930269759384907011515814156661209,I copied all the #include statements from the client.c homework it kept referencing and I never encountered any issues with missing libraries after that,replied_to
311900131345411700396720554174890495,307041291113035625575560484892705380920,Thanks! That was definitelly my problem haha,replied_to
311900131345411700396720554174890495,42883837382410989254371470380046741156,I will be handling exam reviews after everyone has completed the exam and we've had a chance to discuss in class. Expect this in about two weeks.,replied_to
311900131345411700396720554174890495,1194025134013550693,When will exam reviews with the TAs be available?,posted_in_channel
52225059130521284712354533136299769248,1192932762009743486,"When I went to rent the textbook from the BYU store it initially said it would be $25 but was $145 at checkout (to rent not buy), anyone else have this issue? (I did also find it for free on github...)",posted_in_channel
52225059130521284712354533136299769248,142838701429072772128655441259243143722,"~~I'll try it, it's just weird it's never happened before haha~~it worked! Thanks 😊",replied_to
52225059130521284712354533136299769248,61793052560874397934401343675331133595,"Dono if it’ll fix it, but I had a similar problem last semester and just continuing right up until payment fixed the displayed price",replied_to
52225059130521284712354533136299769248,1194341712940773417,https://github.com/b09/c_resources/blob/master/Computer%20Systems%20-%20A%20Programmer%20s%20Perspective%20-%203rd%20Edition.pdf,posted_in_thread
52225059130521284712354533136299769248,1194024142513639434,"I set up everything as per the instructions and cloned down the repository, but when I try to push that content to my own repository, the command doesn't come up with an error but never finishes running.
Pushing to ssh://github.com/Sarah-Bassett/CS324",posted_in_channel
52225059130521284712354533136299769248,252122291372972891917685148986981375101,"Just to help get a better idea of what's going on, is this happening on a lab machine/are you remotely logged in via ssh?",replied_to
52225059130521284712354533136299769248,250376467938770280930328576724731505816,"check your execve call, i was having the same problem",replied_to
52225059130521284712354533136299769248,1194024836163457154,"I'm having trouble with test36, ./mypid isn't getting its output redirected, it's just printing from ./mypid. I have dup2(pipe_fd[0], STDIN_FILENO) in my child half, but where should I put dup2(pipe_fd[1], STDOUT_FILENO)? If I put it in the child it hangs forever",posted_in_channel
52225059130521284712354533136299769248,221528945872248921303674648586069394839,I was also getting the end of file error but I realized that when the program terminates you are supposed to print out the background jobs information. (even though it is never mentioned in the instructions) But now that I am printing it out I am getting the error that I just sent in the chat,replied_to
52225059130521284712354533136299769248,1194024887996653569,"I'm failing test 04 even though running tsh and tshref manually print the same thing: Checking trace04.txt...
./checktsh.pl: ERROR: Reference output (ref) differs from yours (tsh):
 ref:[1] (536979) ./myspin 1 &
 tsh:[end of file]

make: *** [Makefile:21: testall] Error 255
tsh> ./myspin 1 &
[1] (537519) ./myspin 1 &
tsh> quit
tsh> ./myspin 1 &
[1] (537673) ./myspin 1 &
tsh>",posted_in_channel
